name,address,city,state,phone,center_type,latitude,longitude
One Judiciary Square,441 4th St. NW,Washington,DC,202-724-8613,General Weekday Cooling Center,38.895198,-77.016212
Frank D. Reeves Center (Lobby),2000 14th St. NW,Washington,DC,202-671-0576,General Weekday Cooling Center,38.917407,-77.032331
King Office Building (Lobby),3720 Martin Luther King Ave. SE,Washington,DC,202-279-1800,General Weekday Cooling Center,38.837065,-77.006189
Open Door Shelter for Women,425 2nd St. NW,Washington,DC,,Department of Human Services Emergency Homeless Cooling Facility,38.895564,-77.013232
Catholic Charities 801 East Men's Shelter,"801 East Building, 2700 Martin Luther King Jr. Ave. SE",Washington,DC,,Department of Human Services Emergency Homeless Cooling Facility,38.849842,-76.996017
House of Ruth Madison/Empowerment Center (Women),651 10th St. NE,Washington,DC,,Department of Human Services Emergency Homeless Cooling Facility,38.898642,-76.992228
New York Avenue Men's Emergency Shelter,1355 New York Ave. NE,Washington,DC,,Department of Human Services Emergency Homeless Cooling Facility,38.914995,-76.985796
Adam's Place Emergency Shelter (Men),2210 Adam's Pl. NE,Washington,DC,,Department of Human Services Emergency Homeless Cooling Facility,38.919709,-76.974905
John L. Young Center for Women,425 D St. NW,Washington,DC,,Department of Human Services Emergency Homeless Cooling Facility,38.894767,-77.016185
DC General Building #9 (Women),1900 Massachusetts Ave. SE,Washington,DC,,Department of Human Services Emergency Homeless Cooling Facility,38.885392,-76.97269
Arthur Capper,900 5th St. SE,Washington,DC,202-546-1024,Public Housing Cooling Centers for Senior Citizens,38.878877,-76.999495
Carroll Apartments,410 M St. SE,Washington,DC,202-727-4069,Public Housing Cooling Centers for Senior Citizens,38.876618,-76.999981
Fort Lincoln,2855 Bladensburg Rd. NE,Washington,DC,202-576-6370,Public Housing Cooling Centers for Senior Citizens,38.925224,-76.964982
Garfield,2301 11th St. NW,Washington,DC,202-362-7452,Public Housing Cooling Centers for Senior Citizens,38.920749,-77.027002
Horizon House,1150 12th St. NW,Washington,DC,202-682-9395,Public Housing Cooling Centers for Senior Citizens,38.905286,-77.028309
James Apartments,1425 N St. NW,Washington,DC,202-673-2387,Public Housing Cooling Centers for Senior Citizens,38.907514,-77.033027
Knox Hill,2700 Jasper St. SE,Washington,DC,202-727-4005,Public Housing Cooling Centers for Senior Citizens,38.852247,-76.969273
LaDroit,2125 4th St. NW,Washington,DC,202-238-0438,Public Housing Cooling Centers for Senior Citizens,38.918799,-77.017786
Sibley Plaza,1140 North Capitol St. NW,Washington,DC,202-289-0095,Public Housing Cooling Centers for Senior Citizens,38.905086,-77.00915
Regency House,5201 Connecticut Ave. NW,Washington,DC,202-362-4445,Public Housing Cooling Centers for Senior Citizens,38.957845,-77.070998
Marie Reed Aquatic Center,2200 Champlain St. NW,Washington,DC,202-673-7771 & 202-316-2291,Indoor Pools,38.919,-77.040713
William H. Rumsey Aquatic Center,635 North Carolina Ave. SE,Washington,DC,202-724-4495,Indoor Pools,38.886543,-76.997011
Wilson Aquatic Center,4551 Fort Dr. NW,Washington,DC,202-730-0583,Indoor Pools,38.94924,-77.077941
Takoma Aquatic Center,300 Van Buren St. NW,Washington,DC,202-576-9284,Indoor Pools,38.969926,-77.017645
Turkey Thicket,1100 Michigan Ave. NE,Washington,DC,202-576-9235,Indoor Pools,38.938174,-76.992799
Therapeutic Recreation Center,3030 G St. SE,Washington,DC,202-645-5708 & 202-698-1794,Indoor Pools,38.880255,-76.964152
Ferebee-Hope Aquatic Center,3999 8th St. SE,Washington,DC,202-645-3916,Indoor Pools,38.831996,-76.994651
