facility_type,facility_name,facility_phone,facility_address,facility_capacity,latitude,longitude,b_type
DAY CARE CENTER,1ST PLACE 2 START,(415) 333-2659,1252 SUNNYDALE AVE,27,37.7110721,-122.4129411,childcare
DAY CARE CENTER,ABC PRE-SCHOOL,(415) 387-9111,"426 33RD AVENUE, 1ST FLOOR",35,37.7810497,-122.4931908,childcare
DAY CARE CENTER,ALEMANY CENTER-HEAD START (PS),(415) 635-0904,956 ELLSWORTH STREET,18,37.7329129,-122.4185135,childcare
DAY CARE CENTER,"ALPHA KIDS ACADEMY, LLC",(415) 664-8080,175 JUNIPERO SERRA BLVD,39,37.732244,-122.47089,childcare
DAY CARE CENTER,ALTA PLAZA PRESCHOOL,(415) 928-6483,2140 PIERCE STREET,30,37.790201,-122.437192,childcare
DAY CARE CENTER,ANGELINA'S PRE-SCHOOL,(415) 242-6295,1851 NORIEGA STREET,18,37.7536591,-122.4838102,childcare
DAY CARE CENTER,"ARK CHRISTIAN PRESCHOOL, THE",(415) 731-0912,3141 VICENTE STREET,70,37.7376462,-122.5009063,childcare
DAY CARE CENTER,"ARK OF HOPE PRESCHOOL, INC.",(415) 242-1036,2701 NORIEGA STREET,42,37.7535341,-122.492563,childcare
DAY CARE CENTER,ASSOCIATED STUDENTS CHILDREN'S CENTER - PRESCHOOL,(415) 338-2403,1650 HOLLOWAY AVENUE,60,37.7223946,-122.4786143,childcare
DAY CARE CENTER,BABY LOVE FAMILY CHILD CARE,(415) 240-5436,283 FARALLONES AVENUE,30,37.71378,-122.46188,childcare
DAY CARE CENTER,BALBOA PRESCHOOL,(415) 668-5877,521 BALBOA STREET,30,37.7770138,-122.4644867,childcare
DAY CARE CENTER,BAMBINI MONTESSORI SCHOOL,(415) 828-9828,2042 CLEMENT STREET,27,37.7822005,-122.4813635,childcare
DAY CARE CENTER,BIG CITY MONTESSORI SCHOOL,(415) 648-5777,240 INDUSTRIAL STREET,100,37.7386509,-122.4053144,childcare
DAY CARE CENTER,BRIGHT HORIZONS AT 221 MAIN STREET (PRESCHOOL),(415) 495-1706,221 MAIN STREET,58,37.7904127,-122.3920575,childcare
DAY CARE CENTER,BRIGHT HORIZONS AT KANSAS STREET (PS),(415) 863-2533,"200 KANSAS STREET, STE. 100",94,37.766731,-122.404214,childcare
DAY CARE CENTER,BRIGHT HORIZONS SAN FRANCISCO CALIFORNIA ST-PRESCH,(415) 392-7531,555 CALIFORNIA STREET,12,37.7927446,-122.4038946,childcare
DAY CARE CENTER,BRIGHT HORIZONS @ SECOND STREET - PRESCHOOL,(415) 495-2500,"303 SECOND STREET,2ND FL. #25O",79,37.7857659,-122.3958604,childcare
DAY CARE CENTER,BUEN DIA FAMILY SCHOOL,(415) 431-3535,589 GUERRERO ST.,30,37.761924,-122.4236221,childcare
DAY CARE CENTER,C5 CHILDREN'S SCHOOL-SFPUC (PS),(415) 626-4880,525 GOLDEN GATE AVENUE,45,37.7810143,-122.4192528,childcare
DAY CARE CENTER,C5 CHILDREN'S SCHOOL PRESCHOOL CENTER,(415) 703-1277,455 GOLDEN GATE AVENUE,85,37.7810897,-122.4181019,childcare
DAY CARE CENTER,CALVARY PRESBYTERIAN CHURCH NURSERY SCHOOL,(415) 346-4715,2515 FILLMORE STREET,75,37.7927035,-122.4349879,childcare
DAY CARE CENTER,CCFC- 31ST AVENUE,(415) 668-7863,750 31ST AVENUE,43,37.7749701,-122.4907995,childcare
