b_type,name,address,lat,long
cooling_center,30th Street Senior Center (On Lok) ,225 30th St.,37.741877,-122.425162
cooling_center,Bayview Hunter's Point ADH,1250 La Salle Ave.,37.731916,-122.382835
cooling_center,"Bayview Hunters Point Multipurpose Senior Services, Inc.",1706 Yosemite Ave.,37.728202,-122.393721
cooling_center,Curry Senior Center,333 Turk St.,37.782617,-122.414452
cooling_center,Jewish Community Center of San Francisco,3200 California St.,37.787514,-122.447318
cooling_center,Noe Valley Senior Center,1021 Sanchez St.,Fans,37.752836,-122.429632
cooling_center,On Lok (Day Care Center),1333 Bush St.,37.788653,-122.419052
cooling_center,Richmond Senior Center,6221 Geary Blvd. #3,37.779848,-122.48631
cooling_center,Salvation Army Mission Corps Senior Center,1156 Valencia St.,37.754377,-122.421193
cooling_center,SF Senior Center - Downtown,481 O'Farrell St.,37.785713,-122.412526
cooling_center,YMCA - Central Branch,220 Golden Gate Ave.,37.782005,-122.414372
cooling_center,YMCA - Mission Branch,4080 Mission St.,37.732512,-122.427856
cooling_center,YMCA - Stonestown Branch Annex,3150 20th Ave,37.730355,-122.4755
