"name","address","latitude","longitude","b_type"
"1070 OAK ST SHELL STATION","1070 Oak St, San Francisco, CA 94117",37.773202881217,-122.436882331967,"gas_station"
"19TH AVE SHELL","1200 19th Ave, San Francisco, CA 94122",37.7653031051159,-122.47732065618,"gas_station"
"237 BRODERICK APTS","237 Broderick St, San Francisco, CA 94117",37.7723814547062,-122.438976466656,"gas_station"
"2985 SAN BRUNO AVE BLDG","2985 San Bruno Ave, San Francisco, CA 94134",37.7240600585938,-122.40210723877,"gas_station"
"501 SO VAN NESS AVE PROPERTY","501 S Van Ness Ave, San Francisco, CA 94110",37.764762878418,-122.417449951172,"gas_station"
"7-ELEVEN STORE #2366-39475","3400 Mission St, San Francisco, CA 94110",37.7419586181641,-122.422248840332,"gas_station"
"ACME ARCO","710 San Jose Ave, San Francisco, CA 94110",37.7436804771423,-122.422842979431,"gas_station"
"ALEMANY SHELL","2200 Alemany Blvd, San Francisco, CA 94112",37.7176818847656,-122.44261932373,"gas_station"
"ALIANZA SERVICE STATION","2901 Bryant St, San Francisco, CA 94110",37.7482335269451,-122.40870706737,"gas_station"
"AMERICAN GAS","2831 Cesar Chavez St, San Francisco, CA 94110",37.7488262951374,-122.406594157219,"gas_station"
"ARMY CIRCLE B P SERVICE","2831 Cesar Chavez St, San Francisco, CA 94110",37.7488262951374,-122.406594157219,"gas_station"
"ART'S VALERO","2985 San Bruno Ave, San Francisco, CA 94134",37.7240600585938,-122.40210723877,"gas_station"
"BAYSHORE 76","975 Bayshore Blvd, San Francisco, CA 94124",37.7319641113281,-122.40412902832,"gas_station"
"BAYSHORE 76","975 Bayshore Blvd, San Francisco, CA 94124",37.7319641113281,-122.40412902832,"gas_station"
"BAYSHORE 76","975 Bayshore Blvd, San Francisco, CA 94124",37.7319641113281,-122.40412902832,"gas_station"
"BAYSHORE GAS & SERVICE INC","2260 Bayshore Blvd, San Francisco, CA 94134",37.711971282959,-122.403175354004,"gas_station"
"BAYSHORE SHELL","319 Bayshore Blvd, San Francisco, CA 94124",37.7427978515625,-122.405410766602,"gas_station"
"CALIFORNIA SHELL","2501 California St, San Francisco, CA 94115",37.7886810302734,-122.435707092285,"gas_station"
"CALVIN K SUNG AUTO SERVICE","999 Divisadero St, San Francisco, CA 94115",37.778434753418,-122.438484191895,"gas_station"
"CANADIAN-AMERICAN OIL CO","1070 Oak St, San Francisco, CA 94117",37.773202881217,-122.436882331967,"gas_station"
"CASTRO STREET CHEVRON","2399 Market St, San Francisco, CA 94114",37.76271879673,-122.435018196702,"gas_station"
"C CUSHERE","64 Highland Ave, San Francisco, CA 94110",37.737365886569,-122.424502596259,"gas_station"
"CHEVRON USA INC 302550","1298 Howard St, San Francisco, CA 94103",37.7754287719727,-122.412620544434,"gas_station"
"CHEVRON USA INC 90030","1501 Van Ness Ave, San Francisco, CA 94109",37.789665222168,-122.422286987305,"gas_station"
"CHEVRON USA INC 90087","1000 Harrison St, San Francisco, CA 94103",37.7770462036133,-122.404418945312,"gas_station"
"CHEVRON USA INC 90308","2399 Market St, San Francisco, CA 94114",37.76271879673,-122.435018196702,"gas_station"
"CHEVRON USA INC 90535","3675 Geary Blvd, San Francisco, CA 94118",37.7812156677246,-122.458534240723,"gas_station"
"CHEVRON USA INC 90787","2998 San Jose Ave, San Francisco, CA 94112",37.7116160094738,-122.455470710993,"gas_station"
"CHEVRON USA INC 90838","1100 Junipero Serra Blvd, San Francisco, CA 94132",37.7181739807129,-122.472625732422,"gas_station"
"CHEVRON USA INC 91000","1288 19th Ave, San Francisco, CA 94122",37.7638439834118,-122.477218732238,"gas_station"
"CHEVRON USA INC 91623","1698 Fell St, San Francisco, CA 94117",37.7730255126953,-122.445556640625,"gas_station"
"CHEVRON USA INC 93535","1790 Lombard St, San Francisco, CA 94123",37.8005065917969,-122.430877685547,"gas_station"
"CLEMENT AUTO SERVICE","388 32nd Ave, San Francisco, CA 94121",37.7819175720215,-122.492370605469,"gas_station"
"CRLLC 76 STORE 5601","3800 3rd St, San Francisco, CA 94124",37.742504119873,-122.388092041016,"gas_station"
