blank,name,address,phone_number,website,resource_type,facility_type,services,lat,lng
hello,California Pacific Medical Center - California East,3698 Sacramento Street,(415) 600-6000,http://www.cpmc.org/,hospital,General Acute Care Hospital,Hospital,37.78740232,-122.4535495
hello,California Pacific Medical Center - California West,3700 California Street,(415) 600-6000,http://www.cpmc.org/,hospital,General Acute Care Hospital,Hospital,37.78614406,-122.4559117
hello,California Pacific Medical Center - Davies Campus,45 Castro Street,(415) 600-6000,http://www.cpmc.org/,hospital,General Acute Care Hospital,Hospital,37.76905419,-122.4358177
hello,California Pacific Medical Center - Pacific Campus,2333 Buchanan Street,(415) 600-6000,http://www.cpmc.org/,hospital,General Acute Care Hospital,Hospital,37.79142444,-122.4310376
hello,California Pacific Medical Center - St. Luke's Campus,3555 Cesar Chavez Street,(415) 600-6000,http://www.cpmc.org/,hospital,General Acute Care Hospital,Hospital,37.74804296,-122.4212488
hello,Chinese Hospital,845 Jackson Street,(415) 982-2400,http://www.chinesehospital-sf.org/,hospital,General Acute Care Hospital,Hospital,37.79566209,-122.4091723
hello,Kaiser Permanente San Francisco Medical Center,2425 Geary Boulevard,(415) 833-2000,https://healthy.kaiserpermanente.org/html/kaiser/index.shtml,hospital,General Acute Care Hospital,Hospital,37.78268324,-122.4437068
hello,Laguna Honda Hospital And Rehabilitation Center,375 Laguna Honda Boulevard,(415) 759-2300,http://lagunahonda.org/,hospital,General Acute Care Hospital,Hospital,37.74762573,-122.4587178
hello,San Francisco General Hospital,1001 Potrero Avenue,(415) 206-8000,http://www.sfdph.org/dph/comupg/oservices/medSvs/sfgh/default.asp,hospital,General Acute Care Hospital,Hospital,37.75606363,-122.4077197
hello,St. Francis Memorial Hospital,900 Hyde Street,(415) 353-6000,http://www.saintfrancismemorial.org/index.htm,hospital,General Acute Care Hospital,Hospital,37.78956798,-122.4170662
hello,"St. Mary's Medical Center, San Francisco",450 Stanyan Street,(415) 668-1000,http://www.stmarysmedicalcenter.org/index.htm,hospital,General Acute Care Hospital,Hospital,37.77380449,-122.4544068
hello,UCSF Medical Center,505 Parnassus Avenue,(415) 476-1000,http://www.ucsfhealth.org/,hospital,General Acute Care Hospital,Hospital,37.76336734,-122.4585674
