"name","address","latitude","longitude","b_type"
"Saint John's Federated Church","20 Woodside Ave",37.7465809074039,-122.457879415029,"faith"
"Lakeview Church of God In Christ","107 Lakeview Ave",37.7165212487941,-122.451287309872,"faith"
"Star of Hope Missionary Baptist Church","2002 Quesada Ave",37.7367550893363,-122.397057099866,"faith"
"Greater New St John Missionary Baptist Church","1332 Vermont St",37.7527285630049,-122.403669148865,"faith"
"Christian Science","450 Ofarrell St",37.7861580886497,-122.412407707504,"faith"
"Hamilton Memorial Church of God In Christ","2398 Geary Blvd",37.7832039219849,-122.442633062511,"faith"
"Missionary Temple Christian Methodist","1455 Golden Gate Ave",37.778954815919,-122.434428879387,"faith"
"First Orthodox Presbyterian Church","1350 Lawton St",37.7581134406303,-122.477523357958,"faith"
"Love Chapel Church of God In Christ","2693 Sutter St",37.7844349011362,-122.444566626345,"faith"
"Holy Word Church","2026 19th Ave",37.7500399742865,-122.475801948562,"faith"
"Assemblies of God Full Life Christian Center of San Francisco","3535 Balboa St",37.7754824212751,-122.496975172025,"faith"
"Holy Virgin Community of San Francisco","6210 Geary Blvd",37.7801440698958,-122.485890077506,"faith"
"Vietnamese Buddhist Association San Francisco Inc","243 Duboce Ave",37.7694554342239,-122.425314811948,"faith"
"First Covenant Church of San Francisco Inc","455 Dolores St",37.7620777933246,-122.4257539095,"faith"
"Church For The Fellowship or All Peoples","2041 Larkin St",37.7967824538467,-122.420510639281,"faith"
"Cornerstone Evangelical Baptist Church In San Francisco Inc","801 Silver Ave",37.7295503196475,-122.418338196492,"faith"
"Outpour Ministries","2210 Stockton St APT 201",37.8065541420407,-122.409937085061,"faith"
"St Francis Lutheran Church","152 Church St",37.7685777973428,-122.429416559316,"faith"
"The Voice of Chrst Full Gospel Inc","680 Guerrero St",37.7602796628572,-122.423790450376,"faith"
"First Church of God of San Fransico","3728 Cesar Chavez",37.7483414317859,-122.423190895195,"faith"
"Bethany United Methodist Church","1268 Sanchez St",37.7488481876804,-122.429531829229,"faith"
"St Peters Missionary Baptist Church","1606 Newcomb Ave",37.7355501875123,-122.389884571942,"faith"
"Spanish Speaking Baptist Church","2970 Folsom St",37.7497815785411,-122.414162535852,"faith"
"St Mary & St Martha Lutheran Church Elc","1050 S Van Ness Ave",37.7564613030134,-122.417034435338,"faith"
"St John The Evangelist Episcopal Church","1661 15th St",37.7663669875305,-122.421312131024,"faith"
"Universal Fellowship of Metropolitan Community Churches Inc","150 Eureka St",37.7599001659658,-122.438506040632,"faith"
"Greater New Jerusalem Baptist Church","738 Hayes St",37.7764265559817,-122.42861589796,"faith"
"Quong Ming Buddhism & Taoism Society","1104 Powell St APT 6",37.7949563471541,-122.409554333696,"faith"
"Metaphysical Christian Spiritualist Church","545 Sutter St Ste 302",37.7888576193254,-122.409227405636,"faith"
"The Episcopal Church In The Diocese of California","1430 Mason St",37.7967200234936,-122.411595129064,"faith"
