name,address,facility_type,phone,latitude,longitude,public_private,b_type
Adda Clevenger Junior Preparatory,180 Fair Oaks Street,K - 8,415/824-2240,37.7537393,-122.4244651,private,school
Brandeis Hillel Day School,655 Brotherhood Way,K - 8,415/406-1035,37.71221693,-122.4722121,private,school
Childrens Day School,333 Dolores Street,PK- 8,415/861-5432,37.76385805,-122.4257083,private,school
Convent of Sacred Heart Elementary School,2222 Broadway,K - 8,415/563-2900,37.79486472,-122.4339602,private,school
Epiphany School,600 Italy Avenue,1 - 8,415/337-4030,37.71572318,-122.4345333,private,school
Hamlin School,2120 Broadway Street,K - 8,415/922-0300,37.79507285,-122.4325542,private,school
Lisa Hampner Hebrew Academy,645 14th Avenue,PK - 12,415/752-7333,37.77609727,-122.472874,private,school
Immaculate Conception Academy,3625 24th Street,9 - 12,415/824-2052,37.75175309,-122.4233468,private,school
International Christian School,42 Waller Street,PK - 8,415/863-1691,37.77222814,-122.4242303,private,school
Laurel School,350 9th Avenue,PK - 8,415/752-3567,37.78183234,-122.4670126,private,school
Live Oak School,1555 Mariposa Street,K - 8,415/861-8840,37.76348352,-122.3989293,private,school
Meadows-Livingstone School,1499 Potrero Avenue,1 - 6,415/695-7735,37.7496279,-122.4048384,private,school
Mission Dolores School,3371 16th Street,K - 8,415/861-7673,37.76406967,-122.4277131,private,school
Our Lady of Visitacion School,795 Sunnydale Ave,K - 8,415/239-7840,37.70976264,-122.4094119,private,school
Presidio Hill School,3839 Washington Street,K - 8,415/751-9318,37.78858367,-122.4560599,private,school
St. Anthony-Immaculate Conception School,299 Precita Avenue,K - 8,415/648-2008,37.74750161,-122.41425,private,school
St. Brendan's School,940 Laguna Honda Boulevard,K - 8,415/731-2665,37.74285393,-122.455924,private,school
St. Cecilia School,660 Vicente Street,K - 8,415/731-8400,37.73995028,-122.4740096,private,school
St. Charles School,3250 18th Street,K - 8,415/861-7652,37.76232304,-122.4164429,private,school
Stratford School,301 De Montfort Avenue,K - 2,415/333-3134,37.72314847,-122.4615613,private,school
St. Gabriel School,2550 41st Avenue,K - 8,415/566-0314,37.73953159,-122.4987709,private,school
St. James School,321 Fair Oaks Street,K - 8,415/647-8972,37.75165332,-122.4237683,private,school
St. John's School,925 Chenery Street,K - 8,415/584-8383,37.73478908,-122.437496,private,school
St. Mary's Chinese Day School,910 Broadway,K - 8,415/929-4690,37.79747523,-122.412375,private,school
Kipp Bayview Academy,1060 Key Avenue,5 - 8,415/467-2522,37.71951728,-122.3962188,private,school
St. Peter's School,1266 Florida Street,K - 8,415/647-8662,37.75170018,-122.41036,private,school
St. Philip's School,665 Elizabeth Street,K - 8,415/824-8467,37.75175818,-122.4355377,private,school
