"name","address","b_type","latitude","longitude"
"LIEN HING SUPERMARKET","1108 Stockton St.","Supermarket","37.79606678619022","-122.40801373538767"
"MARINA SUPERMARKET","2323 Chestnut St.","Supermarket","37.799884955432894","-122.44146863005471"
"WHOLE FOODS","3950 24th St.","Supermarket","37.75188856808614","-122.43087164481018"
"WAH SING SUPERMARKET","1931 Irving St.","Supermarket","37.763221568179056","-122.47851254012977"
"MOLLIE STONE'S MARKET","2435 California St.","Supermarket","37.78846966632108","-122.43481473126855"
"FRESH ORGANICS","1023 Stanyan St","Supermarket","37.765209117835106","-122.45278453066041"
"ANDRONICOS PARK AND SHOP","1200 Irving St","Supermarket","37.76391174792327","-122.47062907131863"
"REAL FOOD CO","3060 Fillmore St","Supermarket","37.79766851615851","-122.43554873434735"
"REAL FOOD COMPANY","2140 Polk St","Supermarket","37.79640091551832","-122.42181040397948"
"CAL-MART SUPERMARKET","3585 California St","Supermarket","37.786367262566905","-122.45309386928704"
"FOODS CO","1800 Folsom St","Supermarket","37.7684961100913","-122.41569711888496"
"NEW MAY WAH","711 Clement St # 719","Supermarket","37.782798601180204","-122.46670265338176"
"SAFEWAY","15 Marina Blvd","Supermarket","37.805129214206836","-122.43241977954905"
"FALLETTI FOODS","308 Broderick St","Supermarket","37.77303941353586","-122.43904954174087"
"ARGUELLO SUPERMARKET","782 Arguello Blvd","Supermarket","37.77553906221819","-122.45840457419797"
"TOWER MARKET","635 Portola Dr","Supermarket","37.74502401875996","-122.45242426941621"
"UOKI","1656 Post St","Supermarket","37.78574996855877","-122.42912162299486"
"6001 CALIFORNIA MARKET","6001 California St","Supermarket","37.7839710875198","-122.48183247716516"
"WHOLE FOODS MARKET","1765 California St","Supermarket","37.790189532829686","-122.4233361218687"
"FRESH & EASY NIGHBORHOOD MKT STR","3132 Clement St","Supermarket","37.78172533892079","-122.49274781063953"
"NEW LUN WAH GROCERY","1117 Stockton St","Supermarket","37.795976250640024","-122.40836792503278"
"J C MARKET","830 Jackson St","Supermarket","37.79583120110151","-122.40873188331452"
"SUNSET SUPERMARKET","2425 Irving St","Supermarket","37.76322320106973","-122.48385801560457"
"SUNSET II SUPERMARKET","2801 Vicente St","Supermarket","37.73833487194182","-122.49687782502278"
"GOOD LIFE GROCERY-POTRERO HILL","1524 20th St","Supermarket","37.76007040366089","-122.39651880210471"
"RAINBOW GENERAL STORE","1745 Folsom St","Supermarket","37.76908875184211","-122.41558009677956"
"TRADER JOES","555 9th St Ste 1","Supermarket","37.77066136830488","-122.40764505507659"
"TRADER JOES","3 Masonic Ave","Supermarket","37.78280403598271","-122.44723208739369"
"OTHER AVENUES FOOD STORE","3930 Judah St","Supermarket","37.760569144798026","-122.50411796048292"
"MOLLIE STONES","4201 18th St","Supermarket","37.760773542726355","-122.43614603492655"
"CASA GUADALUPE","2909 Mission St","Supermarket","37.750392978365866","-122.41819405606684"
"LIEN HING SUPERMARKET 2","1401 Stockton St","Supermarket","37.798587416741064","-122.40889102186057"
"CASA LUCAS MARKET","2934 24th St","Supermarket","37.752765916522506","-122.41069210355927"
"BIG APPLE CO","1650 Polk St","Supermarket","37.79196065219211","-122.4209025557551"
"SAFEWAY","145 Jackson St","Supermarket","37.79697540905504","-122.39889635733468"
"RJS MARKET","1425 Sansome St","Supermarket","37.803338462580044","-122.40329037179285"
"LE BEAU NOB HILLL MARKET","1263 Leavenworth St","Supermarket","37.79267898777663","-122.41614699487874"
"LUCKY","1750 Fulton St","Supermarket","37.775974881020716","-122.44565519462725"
"SAFEWAY","2300 16th St Ste 230","Supermarket","37.76577765012001","-122.40868032094036"
"SAFEWAY","2020 Market St","Supermarket","37.76892460088037","-122.42735200084921"
"SAFEWAY","3350 Mission St","Supermarket","37.7432771814453","-122.42145334795488"
